Item,Package Weight (g),Package Weight (oz/lbs),Package Cost,Carbs (g) per 100g of Food,Fat (g) per 100g of Food,Protein (g) per 100g of Food,Total Calories per 100g of Food,Cost of 100g Carb,Cost of 100g Fat,Cost of 100g Protein,Cost of 100g of Food,Cost per 1000 Calorie,Carbs (cal) per 100g of Food,Fat (cal) per 100g of Food,Protein (cal) per 100g of Food,% of Calories from Carbs,% of Calories from Fat,% of Calories from Protein,Carb / Fat / Protein Calorie Ratio
"White Rice, Dry",2270,5 lbs,$2.32,87,1,8,400,$0.12,$10.22,$1.28,$0.10,$0.26,348.0,9.0,32.0,89.5,2.3,8.2,89 / 2 / 8
1 Dozen Large Eggs - Walmart,714,1.6 lbs,$1.00,0,8,10,118,NA,$1.75,$1.40,$0.14,$1.19,0.0,72.0,40.0,0.0,64.3,35.7,0 / 64 / 36
Chicken Breast (Uncooked),454,1 lb,$2.50,0,8,30,195,NA,$6.88,$1.84,$0.55,$2.82,0.0,72.0,120.0,0.0,37.5,62.5,0 / 38 / 63
Brown Rice Protein 5lbs - Bulkfoods,2240,5 lbs,$33.29,10,0,77,355,$14.86,NA,$1.93,$1.49,$4.19,40.0,0.0,308.0,11.5,0.0,88.5,11 / 0 / 89
Jiff Natural Peanut Butter 40 oz,1120,40 oz,$5.48,24,48,21,576,$2.04,$1.02,$2.33,$0.49,$0.85,96.0,432.0,84.0,15.7,70.6,13.7,16 / 71 / 14
Milk 2% - Great Value Walmart,3780,8.3 lbs,$2.80,5,3,3,63,$1.48,$2.47,$2.47,$0.07,$1.18,20.0,27.0,12.0,33.9,45.8,20.3,34 / 46 / 20
Kidney Beans - Great Value Walmart,454,1 lb,$0.60,16,0.4,5,77,$0.83,$33.04,$2.64,$0.13,$1.72,64.0,3.6,20.0,73.1,4.1,22.8,73 / 4 / 23
Peanut Butter Powder - PBFit Sam's Club,840,1.8 lbs,$9.88,33,17,42,417,$3.56,$6.92,$2.80,$1.18,$2.82,132.0,153.0,168.0,29.1,33.8,37.1,29 / 34 / 37
Whey Protein Powder - MuscleTech Vanilla Sam's Club,2720,6 lbs,$40.00,23,4,50,350,$6.39,$36.76,$2.94,$1.47,$4.20,92.0,36.0,200.0,28.0,11.0,61.0,28 / 11 / 61
"Pork, fresh, loin, sirloin (chops or roasts), boneless, separable lean only, raw",454,1 lb,$3.00,0,4,21,128,NA,$16.52,$3.15,$0.66,$5.16,0.0,36.0,84.0,0.0,30.0,70.0,0 / 30 / 70
"Canned Sardines in Oil 3.75oz, Drained",105,3.75 oz,$0.80,0,10,22,182,NA,$7.62,$3.46,$0.76,$4.19,0.0,90.0,88.0,0.0,50.6,49.4,0 / 51 / 49
Soy Protein Isolate EAS,590,1.3 lb,$9.88,45,2,48,405,$3.72,$83.73,$3.49,$1.67,$4.13,180.0,18.0,192.0,46.2,4.6,49.2,46 / 5 / 49
Mozzerella Cheese 16oz - Great Value Walmart,454,1 lb,$4.48,0,21,25,286,NA,$4.70,$3.95,$0.99,$3.45,0.0,189.0,100.0,0.0,65.4,34.6,0 / 65 / 35
Cheddar Cheese 16oz - Great Value Walmart,454,1 lb,$4.48,0,32,25,393,NA,$3.08,$3.95,$0.99,$2.51,0.0,288.0,100.0,0.0,74.2,25.8,0 / 74 / 26
Ground Beef (Uncooked) 85/15,454,1 lb,$3.50,0,15,19,215,NA,$5.14,$4.06,$0.77,$3.59,0.0,135.0,76.0,0.0,64.0,36.0,0 / 64 / 36
Cheap Hot Dogs - Bar-S 3lb 24 Pack,1361,3 lbs,$3.98,7,21,7,250,$4.18,$1.39,$4.18,$0.29,$1.17,28.0,189.0,28.0,11.4,77.1,11.4,11 / 77 / 11
"Canned Tuna in Water, drained 5 oz - Starkist",112,5 oz,$1.00,0,0,18,80,NA,NA,$4.96,$0.89,$11.16,0.0,0.0,72.0,0.0,0.0,100.0,0 / 0 / 100
"Beef Chuck (Shoulder Clod, Top Blade Steak, Lean Only, Trimmed to 0"" Fat, Choice Grade)",454,1 lb,$4.50,0,11,19,182,NA,$9.01,$5.22,$0.99,$5.45,0.0,99.0,76.0,0.0,56.6,43.4,0 / 57 / 43
Regular Hot Dogs - Oscar Mayer Classic 1lb 10 Pack,454,1 lb,$2.68,4,16,11,200,$14.76,$3.69,$5.37,$0.59,$2.95,16.0,144.0,44.0,7.8,70.6,21.6,8 / 71 / 22
"Beef T-Bone Steak (Uncooked, Trimmed to 1/8"" Fat, Choice Grade)",454,1 lb,$7.00,0,19,21,263,NA,$8.12,$7.34,$1.54,$5.86,0.0,171.0,84.0,0.0,67.1,32.9,0 / 67 / 33
"Canned Tuna in Water, undrained 5 oz - Wild Planet",140,5 oz,$3.50,0,4,25,143,NA,NA,$10.00,$2.50,$17.48,0.0,36.0,100.0,0.0,26.5,73.5,0 / 26 / 74
